log_id,routine_name,time_of_day,completion_date,completed,day_of_week,month
1,Morning Reading,Morning,2025-11-01,1,Saturday,2025-11
2,Morning Reading,Morning,2025-11-02,1,Sunday,2025-11
3,Morning Reading,Morning,2025-11-03,1,Monday,2025-11
4,Morning Reading,Morning,2025-11-04,1,Tuesday,2025-11
5,Morning Reading,Morning,2025-11-05,1,Wednesday,2025-11
6,Morning Reading,Morning,2025-11-06,1,Thursday,2025-11
7,Morning Reading,Morning,2025-11-07,1,Friday,2025-11
8,Morning Reading,Morning,2025-11-08,0,Saturday,2025-11
9,Morning Reading,Morning,2025-11-09,0,Sunday,2025-11
10,Morning Reading,Morning,2025-11-10,1,Monday,2025-11
11,Morning Reading,Morning,2025-11-11,1,Tuesday,2025-11
12,Morning Reading,Morning,2025-11-12,1,Wednesday,2025-11
13,Morning Reading,Morning,2025-11-13,0,Thursday,2025-11
14,Morning Reading,Morning,2025-11-14,0,Friday,2025-11
15,Morning Reading,Morning,2025-11-15,0,Saturday,2025-11
16,Morning Reading,Morning,2025-11-16,1,Sunday,2025-11
17,Morning Reading,Morning,2025-11-17,1,Monday,2025-11
18,Morning Reading,Morning,2025-11-18,1,Tuesday,2025-11
19,Morning Reading,Morning,2025-11-19,1,Wednesday,2025-11
20,Morning Reading,Morning,2025-11-20,1,Thursday,2025-11
21,Morning Reading,Morning,2025-11-21,0,Friday,2025-11
22,Morning Reading,Morning,2025-11-22,1,Saturday,2025-11
23,Morning Reading,Morning,2025-11-23,1,Sunday,2025-11
24,Morning Reading,Morning,2025-11-24,1,Monday,2025-11
25,Morning Reading,Morning,2025-11-25,0,Tuesday,2025-11
26,Morning Reading,Morning,2025-11-26,1,Wednesday,2025-11
27,Morning Reading,Morning,2025-11-27,1,Thursday,2025-11
28,Morning Reading,Morning,2025-11-28,0,Friday,2025-11
29,Morning Reading,Morning,2025-11-29,1,Saturday,2025-11
30,Morning Reading,Morning,2025-11-30,0,Sunday,2025-11
31,Morning Reading,Morning,2025-12-01,1,Monday,2025-12
32,Morning Reading,Morning,2025-12-02,1,Tuesday,2025-12
33,Morning Reading,Morning,2025-12-03,0,Wednesday,2025-12
